[    3916ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3917ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3917ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3917ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3917ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3917ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3917ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3917ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3919ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3919ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3919ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3919ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3919ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3919ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3919ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[    3919ms] [WARNING] [JavaScript Warning: "WebGL warning: generateMipmap: Tex image TEXTURE_2D level 0 is incurring lazy initialization."] @ :0
[  151972ms] [INFO] Download the React DevTools for a better development experience: https://react.dev/link/react-devtools @ http://127.0.0.1:5174/node_modules/.vite/deps/react-dom_client.js?v=6e7410d6:20102
[  152007ms] [TIMESTAMP] Blocking Track @ http://127.0.0.1:5174/node_modules/.vite/deps/react-dom_client.js?v=6e7410d6:12095
[  152008ms] [TIMESTAMP] Transition Track @ http://127.0.0.1:5174/node_modules/.vite/deps/react-dom_client.js?v=6e7410d6:12102
[  152008ms] [TIMESTAMP] Suspense Track @ http://127.0.0.1:5174/node_modules/.vite/deps/react-dom_client.js?v=6e7410d6:12109
[  152008ms] [TIMESTAMP] Idle Track @ http://127.0.0.1:5174/node_modules/.vite/deps/react-dom_client.js?v=6e7410d6:12116
[  152024ms] [TIMESTAMP] Render @ http://127.0.0.1:5174/node_modules/.vite/deps/react-dom_client.js?v=6e7410d6:3314
[  152025ms] [TIMESTAMP] Commit @ http://127.0.0.1:5174/node_modules/.vite/deps/react-dom_client.js?v=6e7410d6:12955
[  152052ms] [TIMESTAMP] Waiting for Paint @ http://127.0.0.1:5174/node_modules/.vite/deps/react-dom_client.js?v=6e7410d6:13132
[  152053ms] [TIMESTAMP] App @ http://127.0.0.1:5174/node_modules/.vite/deps/react-dom_client.js?v=6e7410d6:3200
[  152053ms] [TIMESTAMP] MemoryQuestGame @ http://127.0.0.1:5174/node_modules/.vite/deps/react-dom_client.js?v=6e7410d6:3200
